"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2021","CurPol","Argentina","Power","NuclearCap","Capacity","MW",2025,1289.96472167968
"GECO2021","CurPol","Argentina","Power","RenewablesCap","Capacity","MW",2025,10473.4287109375
"GECO2021","NDC-LTS","Argentina","Power","CoalCap","Capacity","MW",2025,572.580444335937
"GECO2021","NDC-LTS","Argentina","Power","OilCap","Capacity","MW",2025,1996.89587402343
"GECO2021","NDC-LTS","Argentina","Power","GasCap","Capacity","MW",2025,22232.25
"GECO2021","NDC-LTS","Argentina","Power","HydroCap","Capacity","MW",2025,12703.33203125
"GECO2021","NDC-LTS","Argentina","Power","NuclearCap","Capacity","MW",2025,1289.96472167968
"GECO2021","NDC-LTS","Argentina","Power","RenewablesCap","Capacity","MW",2025,10576.28515625
"GECO2021","1.5C-Unif","Argentina","Power","CoalCap","Capacity","MW",2025,572.580444335937
"GECO2021","1.5C-Unif","Argentina","Power","OilCap","Capacity","MW",2025,1936.52795410156
"GECO2021","1.5C-Unif","Argentina","Power","GasCap","Capacity","MW",2025,22104.064453125
"GECO2021","1.5C-Unif","Argentina","Power","HydroCap","Capacity","MW",2025,12912.029296875
"GECO2021","1.5C-Unif","Argentina","Power","NuclearCap","Capacity","MW",2025,1352.72619628906
"GECO2021","1.5C-Unif","Argentina","Power","RenewablesCap","Capacity","MW",2025,11700.078125
"GECO2021","CurPol","Australia","Power","CoalCap","Capacity","MW",2025,17413.6875
"GECO2021","CurPol","Australia","Power","OilCap","Capacity","MW",2025,2470.26342773437
"GECO2021","CurPol","Australia","Power","GasCap","Capacity","MW",2025,21922.71484375
"GECO2021","CurPol","Australia","Power","HydroCap","Capacity","MW",2025,10552.5283203125
"GECO2021","CurPol","Australia","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","CurPol","Australia","Power","RenewablesCap","Capacity","MW",2025,50946.0185546875
"GECO2021","NDC-LTS","Australia","Power","CoalCap","Capacity","MW",2025,11085.20703125
"GECO2021","NDC-LTS","Australia","Power","OilCap","Capacity","MW",2025,2491.11572265625
"GECO2021","NDC-LTS","Australia","Power","GasCap","Capacity","MW",2025,18613.236328125
"GECO2021","NDC-LTS","Australia","Power","HydroCap","Capacity","MW",2025,11798.4140625
"GECO2021","NDC-LTS","Australia","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","NDC-LTS","Australia","Power","RenewablesCap","Capacity","MW",2025,51838.296875
"GECO2021","1.5C-Unif","Australia","Power","CoalCap","Capacity","MW",2025,14031.5732421875
"GECO2021","1.5C-Unif","Australia","Power","OilCap","Capacity","MW",2025,2546.20727539062
"GECO2021","1.5C-Unif","Australia","Power","GasCap","Capacity","MW",2025,21453.453125
"GECO2021","1.5C-Unif","Australia","Power","HydroCap","Capacity","MW",2025,10860.4189453125
"GECO2021","1.5C-Unif","Australia","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","1.5C-Unif","Australia","Power","RenewablesCap","Capacity","MW",2025,50162.8544921875
"GECO2021","CurPol","Brazil","Power","CoalCap","Capacity","MW",2025,5132.15771484375
