"Scenario","Region","Sector","Units","Variable_class","Sub_variable_class_1","Sub_variable_class_2","year","value"
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","KOR","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","SSA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","GBR","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","USA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","WEU","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","AUS","Power","GW","Capacity","Electricity generation","Solar","2020",15.75618101
"FPS","BRA","Power","GW","Capacity","Electricity generation","Solar","2020",6.714466883
"FPS","CAN","Power","GW","Capacity","Electricity generation","Solar","2020",3.285347468
"FPS","CHN","Power","GW","Capacity","Electricity generation","Solar","2020",248.5557124
"FPS","CSA","Power","GW","Capacity","Electricity generation","Solar","2020",12.36520952
"FPS","EEU","Power","GW","Capacity","Electricity generation","Solar","2020",10.76997454
"FPS","EURA","Power","GW","Capacity","Electricity generation","Solar","2020",9.377532766
"FPS","GCC","Power","GW","Capacity","Electricity generation","Solar","2020",9.230706066
"FPS","IND","Power","GW","Capacity","Electricity generation","Solar","2020",36.66892212
"FPS","IDN","Power","GW","Capacity","Electricity generation","Solar","2020",0.165252829
"FPS","JPN","Power","GW","Capacity","Electricity generation","Solar","2020",63.73503482
"FPS","MENA","Power","GW","Capacity","Electricity generation","Solar","2020",12.98189929
"FPS","RUS","Power","GW","Capacity","Electricity generation","Solar","2020",1.45387249
"FPS","SA","Power","GW","Capacity","Electricity generation","Solar","2020",1.301874139
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Solar","2020",5.116334996
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Solar","2020",26.52786316
"FPS","KOR","Power","GW","Capacity","Electricity generation","Solar","2020",15.14062588
"FPS","SSA","Power","GW","Capacity","Electricity generation","Solar","2020",1.241690716
"FPS","GBR","Power","GW","Capacity","Electricity generation","Solar","2020",13.31898863
"FPS","USA","Power","GW","Capacity","Electricity generation","Solar","2020",71.26437586
"FPS","WEU","Power","GW","Capacity","Electricity generation","Solar","2020",120.860166
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Solar","2020",685.8320316
"FPS","AUS","Power","GW","Capacity","Electricity generation","Onshore wind","2020",8.631589875
"FPS","BRA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",16.24969896
"FPS","CAN","Power","GW","Capacity","Electricity generation","Onshore wind","2020",14.09464994
"FPS","CHN","Power","GW","Capacity","Electricity generation","Onshore wind","2020",270.2342942
"FPS","CSA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",16.25605674
"FPS","EEU","Power","GW","Capacity","Electricity generation","Onshore wind","2020",12.32778033
"FPS","EURA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",3.387594642
"FPS","GCC","Power","GW","Capacity","Electricity generation","Onshore wind","2020",0.013262408
"FPS","IND","Power","GW","Capacity","Electricity generation","Onshore wind","2020",37.20945
"FPS","IDN","Power","GW","Capacity","Electricity generation","Onshore wind","2020",0.007308721
"FPS","JPN","Power","GW","Capacity","Electricity generation","Onshore wind","2020",3.73489014
"FPS","MENA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",12.19738847
"FPS","RUS","Power","GW","Capacity","Electricity generation","Onshore wind","2020",0.233966872
"FPS","SA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",1.544620477
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Onshore wind","2020",2.244864647
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Onshore wind","2020",4.21508343
"FPS","KOR","Power","GW","Capacity","Electricity generation","Onshore wind","2020",1.540335376
"FPS","SSA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",0.734683752
"FPS","GBR","Power","GW","Capacity","Electricity generation","Onshore wind","2020",14.72891275
"FPS","USA","Power","GW","Capacity","Electricity generation","Onshore wind","2020",104.6953458
"FPS","WEU","Power","GW","Capacity","Electricity generation","Onshore wind","2020",143.6705348
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Onshore wind","2020",667.9523123
"FPS","AUS","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","BRA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","CAN","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","CHN","Power","GW","Capacity","Electricity generation","Offshore wind","2020",3.823434407
"FPS","CSA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","EEU","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0.033955272
"FPS","EURA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","GCC","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","IDN","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","JPN","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0.027403142
"FPS","MENA","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
"FPS","RUS","Power","GW","Capacity","Electricity generation","Offshore wind","2020",0
