"Annual energy","units","scenario","year","value","scenario_geography"
"batteries_ST_transport","EJ","Oxford2021_base","2023",0.00037428,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2023",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2023",0,"Global"
"hydrogen","EJ","Oxford2021_base","2023",0.00146237,"Global"
"oil_final","EJ","Oxford2021_fast","2023",138.0925846,"Global"
"coal_final","EJ","Oxford2021_fast","2023",37.09193913,"Global"
"gas_final","EJ","Oxford2021_fast","2023",50.23973173,"Global"
"coal_electricity","EJ","Oxford2021_fast","2023",36.33934606,"Global"
"gas_electricity","EJ","Oxford2021_fast","2023",32.58512626,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2023",10.70958379,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2023",16.67162013,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2023",4.187326,"Global"
"wind_electricity","EJ","Oxford2021_fast","2023",11.446272,"Global"
"solar_electricity","EJ","Oxford2021_fast","2023",8.40010738,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2023",0.00355467,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2023",0.00010486,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2023",9.45e-06,"Global"
"hydrogen","EJ","Oxford2021_fast","2023",0.01552773,"Global"
"oil_final","EJ","Oxford2021_base","2024",150.9236959,"Global"
"coal_final","EJ","Oxford2021_base","2024",43.39103801,"Global"
"gas_final","EJ","Oxford2021_base","2024",63.4029442,"Global"
"coal_electricity","EJ","Oxford2021_base","2024",40.51240743,"Global"
"gas_electricity","EJ","Oxford2021_base","2024",25.11342195,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2024",10.92377547,"Global"
"hydro_electricity","EJ","Oxford2021_base","2024",17.00505253,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2024",2.79713468,"Global"
"wind_electricity","EJ","Oxford2021_base","2024",5.66479341,"Global"
"solar_electricity","EJ","Oxford2021_base","2024",3.33243608,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2024",0.00038177,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2024",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2024",0,"Global"
"hydrogen","EJ","Oxford2021_base","2024",0.00149162,"Global"
"oil_final","EJ","Oxford2021_fast","2024",135.6431231,"Global"
"coal_final","EJ","Oxford2021_fast","2024",35.89805486,"Global"
"gas_final","EJ","Oxford2021_fast","2024",49.85232858,"Global"
"coal_electricity","EJ","Oxford2021_fast","2024",36.23986016,"Global"
"gas_electricity","EJ","Oxford2021_fast","2024",34.2023785,"Global"
