"Variable_class","Sub_variable_class_1","Sub_variable_class_2","Scenario","Region","Sector","Units","year","value"
"Capacity","Electricity generation","Natural gas CCS","FPS","EEU","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","EURA","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","IND","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","IDN","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","JPN","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","MENA","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","RUS","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","SA","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","ZAF","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","SEAO","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","KOR","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","SSA","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","GBR","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","USA","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","WEU","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","WORLD","Power","GW","2020",0
"Capacity","Electricity generation","Nuclear","FPS","AUS","Power","GW","2020",0
"Capacity","Electricity generation","Nuclear","FPS","BRA","Power","GW","2020",2.083671201
"Capacity","Electricity generation","Nuclear","FPS","CAN","Power","GW","2020",11.78913822
"Capacity","Electricity generation","Nuclear","FPS","CHN","Power","GW","2020",50.13985574
"Capacity","Electricity generation","Nuclear","FPS","CSA","Power","GW","2020",3.149199567
"Capacity","Electricity generation","Nuclear","FPS","EEU","Power","GW","2020",11.62943654
"Capacity","Electricity generation","Nuclear","FPS","EURA","Power","GW","2020",12.38374585
"Capacity","Electricity generation","Nuclear","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Nuclear","FPS","IND","Power","GW","2020",4.532395689
"Capacity","Electricity generation","Nuclear","FPS","IDN","Power","GW","2020",0
"Capacity","Electricity generation","Nuclear","FPS","JPN","Power","GW","2020",24.99769988
"Capacity","Electricity generation","Nuclear","FPS","MENA","Power","GW","2020",0.886345238
"Capacity","Electricity generation","Nuclear","FPS","RUS","Power","GW","2020",24.8002166
"Capacity","Electricity generation","Nuclear","FPS","SA","Power","GW","2020",1.520331547
"Capacity","Electricity generation","Nuclear","FPS","ZAF","Power","GW","2020",1.73033459
"Capacity","Electricity generation","Nuclear","FPS","SEAO","Power","GW","2020",3.717971275
"Capacity","Electricity generation","Nuclear","FPS","KOR","Power","GW","2020",20.98181029
"Capacity","Electricity generation","Nuclear","FPS","SSA","Power","GW","2020",0
"Capacity","Electricity generation","Nuclear","FPS","GBR","Power","GW","2020",9.536242623
"Capacity","Electricity generation","Nuclear","FPS","USA","Power","GW","2020",99.92857598
"Capacity","Electricity generation","Nuclear","FPS","WEU","Power","GW","2020",92.959481
"Capacity","Electricity generation","Nuclear","FPS","WORLD","Power","GW","2020",376.7664518
"Capacity","Electricity generation","Hydro","FPS","AUS","Power","GW","2020",3.968101429
"Capacity","Electricity generation","Hydro","FPS","BRA","Power","GW","2020",102.8455366
"Capacity","Electricity generation","Hydro","FPS","CAN","Power","GW","2020",75.7291399
"Capacity","Electricity generation","Hydro","FPS","CHN","Power","GW","2020",328.907248
"Capacity","Electricity generation","Hydro","FPS","CSA","Power","GW","2020",85.22675236
"Capacity","Electricity generation","Hydro","FPS","EEU","Power","GW","2020",12.8296289
"Capacity","Electricity generation","Hydro","FPS","EURA","Power","GW","2020",24.52870953
"Capacity","Electricity generation","Hydro","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Hydro","FPS","IND","Power","GW","2020",39.41351824
"Capacity","Electricity generation","Hydro","FPS","IDN","Power","GW","2020",6.154481694
"Capacity","Electricity generation","Hydro","FPS","JPN","Power","GW","2020",19.41487637
"Capacity","Electricity generation","Hydro","FPS","MENA","Power","GW","2020",25.00416858
"Capacity","Electricity generation","Hydro","FPS","RUS","Power","GW","2020",44.57040261
"Capacity","Electricity generation","Hydro","FPS","SA","Power","GW","2020",13.61936702
"Capacity","Electricity generation","Hydro","FPS","ZAF","Power","GW","2020",0.239029807
"Capacity","Electricity generation","Hydro","FPS","SEAO","Power","GW","2020",52.44313617
"Capacity","Electricity generation","Hydro","FPS","KOR","Power","GW","2020",0.781482276
"Capacity","Electricity generation","Hydro","FPS","SSA","Power","GW","2020",27.89956282
"Capacity","Electricity generation","Hydro","FPS","GBR","Power","GW","2020",1.396493034
"Capacity","Electricity generation","Hydro","FPS","USA","Power","GW","2020",73.95046552
"Capacity","Electricity generation","Hydro","FPS","WEU","Power","GW","2020",119.2977565
"Capacity","Electricity generation","Hydro","FPS","WORLD","Power","GW","2020",1058.219857
"Capacity","Electricity generation","Biomass","FPS","AUS","Power","GW","2020",0.990385539
"Capacity","Electricity generation","Biomass","FPS","BRA","Power","GW","2020",15.1767222
"Capacity","Electricity generation","Biomass","FPS","CAN","Power","GW","2020",2.963012221
"Capacity","Electricity generation","Biomass","FPS","CHN","Power","GW","2020",20.49865255
"Capacity","Electricity generation","Biomass","FPS","CSA","Power","GW","2020",4.851190801
"Capacity","Electricity generation","Biomass","FPS","EEU","Power","GW","2020",3.448600808
"Capacity","Electricity generation","Biomass","FPS","EURA","Power","GW","2020",0.187662432
"Capacity","Electricity generation","Biomass","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Biomass","FPS","IND","Power","GW","2020",25.45572991
"Capacity","Electricity generation","Biomass","FPS","IDN","Power","GW","2020",2.947475845
"Capacity","Electricity generation","Biomass","FPS","JPN","Power","GW","2020",4.869086974
"Capacity","Electricity generation","Biomass","FPS","MENA","Power","GW","2020",0.674877364
"Capacity","Electricity generation","Biomass","FPS","RUS","Power","GW","2020",2.745956871
"Capacity","Electricity generation","Biomass","FPS","SA","Power","GW","2020",0.179660842
"Capacity","Electricity generation","Biomass","FPS","ZAF","Power","GW","2020",0.230563435
"Capacity","Electricity generation","Biomass","FPS","SEAO","Power","GW","2020",4.063438694
"Capacity","Electricity generation","Biomass","FPS","KOR","Power","GW","2020",1.50067904
"Capacity","Electricity generation","Biomass","FPS","SSA","Power","GW","2020",0.487229516
"Capacity","Electricity generation","Biomass","FPS","GBR","Power","GW","2020",8.04671876
"Capacity","Electricity generation","Biomass","FPS","USA","Power","GW","2020",14.47229193
"Capacity","Electricity generation","Biomass","FPS","WEU","Power","GW","2020",30.12791723
"Capacity","Electricity generation","Biomass","FPS","WORLD","Power","GW","2020",143.917853
"Capacity","Electricity generation","Biomass CCS","FPS","AUS","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","BRA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","CAN","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","CHN","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","CSA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","EEU","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","EURA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","IND","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","IDN","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","JPN","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","MENA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","RUS","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","SA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","ZAF","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","SEAO","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","KOR","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","SSA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","GBR","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","USA","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","WEU","Power","GW","2020",0
"Capacity","Electricity generation","Biomass CCS","FPS","WORLD","Power","GW","2020",0
"Capacity","Electricity generation","Solar","FPS","AUS","Power","GW","2020",15.75618101
"Capacity","Electricity generation","Solar","FPS","BRA","Power","GW","2020",6.714466883
"Capacity","Electricity generation","Solar","FPS","CAN","Power","GW","2020",3.285347468
"Capacity","Electricity generation","Solar","FPS","CHN","Power","GW","2020",248.5557124
"Capacity","Electricity generation","Solar","FPS","CSA","Power","GW","2020",12.36520952
"Capacity","Electricity generation","Solar","FPS","EEU","Power","GW","2020",10.76997454
"Capacity","Electricity generation","Solar","FPS","EURA","Power","GW","2020",9.377532766
"Capacity","Electricity generation","Solar","FPS","GCC","Power","GW","2020",9.230706066
"Capacity","Electricity generation","Solar","FPS","IND","Power","GW","2020",36.66892212
"Capacity","Electricity generation","Solar","FPS","IDN","Power","GW","2020",0.165252829
"Capacity","Electricity generation","Solar","FPS","JPN","Power","GW","2020",63.73503482
"Capacity","Electricity generation","Solar","FPS","MENA","Power","GW","2020",12.98189929
"Capacity","Electricity generation","Solar","FPS","RUS","Power","GW","2020",1.45387249
"Capacity","Electricity generation","Solar","FPS","SA","Power","GW","2020",1.301874139
"Capacity","Electricity generation","Solar","FPS","ZAF","Power","GW","2020",5.116334996
"Capacity","Electricity generation","Solar","FPS","SEAO","Power","GW","2020",26.52786316
"Capacity","Electricity generation","Solar","FPS","KOR","Power","GW","2020",15.14062588
"Capacity","Electricity generation","Solar","FPS","SSA","Power","GW","2020",1.241690716
"Capacity","Electricity generation","Solar","FPS","GBR","Power","GW","2020",13.31898863
"Capacity","Electricity generation","Solar","FPS","USA","Power","GW","2020",71.26437586
"Capacity","Electricity generation","Solar","FPS","WEU","Power","GW","2020",120.860166
"Capacity","Electricity generation","Solar","FPS","WORLD","Power","GW","2020",685.8320316
"Capacity","Electricity generation","Onshore wind","FPS","AUS","Power","GW","2020",8.631589875
"Capacity","Electricity generation","Onshore wind","FPS","BRA","Power","GW","2020",16.24969896
"Capacity","Electricity generation","Onshore wind","FPS","CAN","Power","GW","2020",14.09464994
"Capacity","Electricity generation","Onshore wind","FPS","CHN","Power","GW","2020",270.2342942
"Capacity","Electricity generation","Onshore wind","FPS","CSA","Power","GW","2020",16.25605674
"Capacity","Electricity generation","Onshore wind","FPS","EEU","Power","GW","2020",12.32778033
"Capacity","Electricity generation","Onshore wind","FPS","EURA","Power","GW","2020",3.387594642
"Capacity","Electricity generation","Onshore wind","FPS","GCC","Power","GW","2020",0.013262408
"Capacity","Electricity generation","Onshore wind","FPS","IND","Power","GW","2020",37.20945
"Capacity","Electricity generation","Onshore wind","FPS","IDN","Power","GW","2020",0.007308721
