"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","CAN","Capacity","Electricity generation","Solar","Power","GW","2020",4.1
"FPS","CHN","Capacity","Electricity generation","Solar","Power","GW","2020",331.3
"FPS","CSA","Capacity","Electricity generation","Solar","Power","GW","2020",38.7
"FPS","EEU","Capacity","Electricity generation","Solar","Power","GW","2020",3.2
"FPS","EURA","Capacity","Electricity generation","Solar","Power","GW","2020",34.8
"FPS","GCC","Capacity","Electricity generation","Solar","Power","GW","2020",30.1
"FPS","IND","Capacity","Electricity generation","Solar","Power","GW","2020",66
"FPS","IDN","Capacity","Electricity generation","Solar","Power","GW","2020",0.2
"FPS","JPN","Capacity","Electricity generation","Solar","Power","GW","2020",83.2
"FPS","MENA","Capacity","Electricity generation","Solar","Power","GW","2020",13.4
"FPS","RUS","Capacity","Electricity generation","Solar","Power","GW","2020",4
"FPS","SA","Capacity","Electricity generation","Solar","Power","GW","2020",1.3
"FPS","SAF","Capacity","Electricity generation","Solar","Power","GW","2020",8.4
"FPS","SEAO","Capacity","Electricity generation","Solar","Power","GW","2020",67.5
"FPS","KOR","Capacity","Electricity generation","Solar","Power","GW","2020",29.9
"FPS","SSA","Capacity","Electricity generation","Solar","Power","GW","2020",2.1
"FPS","GBR","Capacity","Electricity generation","Solar","Power","GW","2020",14.2
"FPS","USA","Capacity","Electricity generation","Solar","Power","GW","2020",32.1
"FPS","WEU","Capacity","Electricity generation","Solar","Power","GW","2020",127.7
"FPS","WORLD","Capacity","Electricity generation","Solar","Power","GW","2020",942.2
"FPS","AUS","Capacity","Electricity generation","Onshore wind","Power","GW","2020",11.4
"FPS","BRA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",18.4
"FPS","CAN","Capacity","Electricity generation","Onshore wind","Power","GW","2020",15.6
"FPS","CHN","Capacity","Electricity generation","Onshore wind","Power","GW","2020",310.1
"FPS","CSA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",27
"FPS","EEU","Capacity","Electricity generation","Onshore wind","Power","GW","2020",27.6
"FPS","EURA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",7.6
"FPS","GCC","Capacity","Electricity generation","Onshore wind","Power","GW","2020",0.1
"FPS","IND","Capacity","Electricity generation","Onshore wind","Power","GW","2020",43.9
"FPS","IDN","Capacity","Electricity generation","Onshore wind","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Onshore wind","Power","GW","2020",4.6
"FPS","MENA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",4.8
"FPS","RUS","Capacity","Electricity generation","Onshore wind","Power","GW","2020",4.3
"FPS","SA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",1.5
"FPS","SAF","Capacity","Electricity generation","Onshore wind","Power","GW","2020",0.1
"FPS","SEAO","Capacity","Electricity generation","Onshore wind","Power","GW","2020",5.9
"FPS","KOR","Capacity","Electricity generation","Onshore wind","Power","GW","2020",1.9
"FPS","SSA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",0.9
"FPS","GBR","Capacity","Electricity generation","Onshore wind","Power","GW","2020",18.1
"FPS","USA","Capacity","Electricity generation","Onshore wind","Power","GW","2020",348
"FPS","WEU","Capacity","Electricity generation","Onshore wind","Power","GW","2020",139.2
"FPS","WORLD","Capacity","Electricity generation","Onshore wind","Power","GW","2020",991
"FPS","AUS","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","BRA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","CAN","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","CHN","Capacity","Electricity generation","Offshore wind","Power","GW","2020",5.7
"FPS","CSA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","EEU","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0.1
"FPS","EURA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","GCC","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","IDN","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","MENA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","RUS","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","SA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","SAF","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","SEAO","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0.2
"FPS","KOR","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0.1
"FPS","SSA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","GBR","Capacity","Electricity generation","Offshore wind","Power","GW","2020",9.5
"FPS","USA","Capacity","Electricity generation","Offshore wind","Power","GW","2020",0
"FPS","WEU","Capacity","Electricity generation","Offshore wind","Power","GW","2020",8.3
"FPS","WORLD","Capacity","Electricity generation","Offshore wind","Power","GW","2020",23.9
"FPS","AUS","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","BRA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","CAN","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","CHN","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","CSA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","EEU","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","EURA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","GCC","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","IDN","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","MENA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","RUS","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","SA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","SAF","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","SEAO","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","KOR","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","SSA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","GBR","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","USA","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","WEU","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","WORLD","Capacity","Electricity generation","Hydrogen","Power","GW","2020",0
"FPS","AUS","Electricity generation","Coal","","Power","TWh","2020",132.3
"FPS","BRA","Electricity generation","Coal","","Power","TWh","2020",16.5
"FPS","CAN","Electricity generation","Coal","","Power","TWh","2020",31.2
"FPS","CHN","Electricity generation","Coal","","Power","TWh","2020",4547.3
"FPS","CSA","Electricity generation","Coal","","Power","TWh","2020",56
"FPS","EEU","Electricity generation","Coal","","Power","TWh","2020",186.9
"FPS","EURA","Electricity generation","Coal","","Power","TWh","2020",150
"FPS","GCC","Electricity generation","Coal","","Power","TWh","2020",0
"FPS","IND","Electricity generation","Coal","","Power","TWh","2020",1082.4
"FPS","IDN","Electricity generation","Coal","","Power","TWh","2020",182.7
"FPS","JPN","Electricity generation","Coal","","Power","TWh","2020",283.2
"FPS","MENA","Electricity generation","Coal","","Power","TWh","2020",132.8
"FPS","RUS","Electricity generation","Coal","","Power","TWh","2020",152.2
"FPS","SA","Electricity generation","Coal","","Power","TWh","2020",33.9
"FPS","SAF","Electricity generation","Coal","","Power","TWh","2020",205.9
"FPS","SEAO","Electricity generation","Coal","","Power","TWh","2020",404.3
"FPS","KOR","Electricity generation","Coal","","Power","TWh","2020",181.9
"FPS","SSA","Electricity generation","Coal","","Power","TWh","2020",7.7
"FPS","GBR","Electricity generation","Coal","","Power","TWh","2020",6.7
"FPS","USA","Electricity generation","Coal","","Power","TWh","2020",818.9
"FPS","WEU","Electricity generation","Coal","","Power","TWh","2020",196.1
"FPS","WORLD","Electricity generation","Coal","","Power","TWh","2020",8808.8
"FPS","AUS","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","BRA","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","CAN","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","CHN","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","CSA","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","EEU","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","EURA","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","GCC","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","IND","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","IDN","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","JPN","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","MENA","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","RUS","Electricity generation","Coal CCS","","Power","TWh","2020",0
"FPS","SA","Electricity generation","Coal CCS","","Power","TWh","2020",0
