"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","CHN","Price","Coal","","","USD / tonne","2030",76.6
"FPS","JPN","Price","Coal","","","USD / tonne","2030",68.8
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2031",54
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2031",2.7
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2031",3.6
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2031",4.7
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2031",44
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2031",2.2
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2031",3.1
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2031",4.2
"FPS","USA","Price","Coal","","","USD / tonne","2031",29.6
"FPS","Europe","Price","Coal","","","USD / tonne","2031",58
"FPS","CHN","Price","Coal","","","USD / tonne","2031",76.1
"FPS","JPN","Price","Coal","","","USD / tonne","2031",68
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2032",53
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2032",2.6
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2032",3.5
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2032",4.7
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2032",43
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2032",2.1
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2032",3
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2032",4.2
"FPS","USA","Price","Coal","","","USD / tonne","2032",28.8
"FPS","Europe","Price","Coal","","","USD / tonne","2032",58.2
"FPS","CHN","Price","Coal","","","USD / tonne","2032",75.6
"FPS","JPN","Price","Coal","","","USD / tonne","2032",67.3
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2033",52
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2033",2.6
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2033",3.5
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2033",4.6
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2033",42
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2033",2.1
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2033",3
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2033",4.1
"FPS","USA","Price","Coal","","","USD / tonne","2033",28
"FPS","Europe","Price","Coal","","","USD / tonne","2033",58.5
"FPS","CHN","Price","Coal","","","USD / tonne","2033",75.1
"FPS","JPN","Price","Coal","","","USD / tonne","2033",66.5
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2034",51
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2034",2.5
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2034",3.4
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2034",4.6
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2034",41
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2034",2
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2034",2.9
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2034",4
"FPS","USA","Price","Coal","","","USD / tonne","2034",27.2
"FPS","Europe","Price","Coal","","","USD / tonne","2034",58.8
"FPS","CHN","Price","Coal","","","USD / tonne","2034",74.6
"FPS","JPN","Price","Coal","","","USD / tonne","2034",65.7
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2035",50
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2035",2.5
