"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2024",3.7
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2024",4.46
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2024",52
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2024",2.32
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2024",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2024",4.26
"RPS","USA","Price","Coal","USD / tonne","2024",35.64
"RPS","Europe","Price","Coal","USD / tonne","2024",54.34
"RPS","CHN","Price","Coal","USD / tonne","2024",77.98
"RPS","JPN","Price","Coal","USD / tonne","2024",67.52
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2025",60
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2025",2.6
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2025",4
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2025",4.8
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2025",55
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2025",2.35
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2025",3.75
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2025",4.55
"FPS","USA","Price","Coal","USD / tonne","2025",38.2
"FPS","Europe","Price","Coal","USD / tonne","2025",55.6
"FPS","CHN","Price","Coal","USD / tonne","2025",80
"FPS","JPN","Price","Coal","USD / tonne","2025",71
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2025",52.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2025",2.6
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2025",3.75
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2025",4.55
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2025",47.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2025",2.35
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2025",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2025",4.3
"RPS","USA","Price","Coal","USD / tonne","2025",33.85
"RPS","Europe","Price","Coal","USD / tonne","2025",55.35
"RPS","CHN","Price","Coal","USD / tonne","2025",76.7
"RPS","JPN","Price","Coal","USD / tonne","2025",66.95
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2026",58
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2026",2.68
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2026",4.1
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2026",4.94
