Source,Scenario,ScenarioGeography,Sector,Technology,Sub_Technology,Indicator,Units,Year,AnnualvalIEAtech,refvalIEAtech,refvalIEAsec,techFSRatio,mktFSRatio,Direction,FairSharePerc
WEO2021,APS,MiddleEast,Power,CoalCap,NA,Capacity,GW,2045,7.56,4.9,2564.9,0.5428571428571427,0.005185387344535847,declining,0.5428571428571427
WEO2021,APS,MiddleEast,Power,GasCap,NA,Capacity,GW,2045,386.14,312.37,2564.9,0.23616224349329315,0.14380677609263515,declining,0.23616224349329315
WEO2021,APS,MiddleEast,Power,HydroCap,NA,Capacity,GW,2045,50.56,40.32,2564.9,0.253968253968254,0.019961791882724476,increasing,0.019961791882724476
WEO2021,APS,MiddleEast,Power,NuclearCap,NA,Capacity,GW,2045,14.38,8.68,2564.9,0.6566820276497697,0.01111154430971968,increasing,0.01111154430971968
WEO2021,APS,MiddleEast,Power,OilCap,NA,Capacity,GW,2045,67.97,79.36,2564.9,-0.14352318548387097,-0.022203594682053882,declining,-0.14352318548387097
WEO2021,APS,MiddleEast,Power,RenewablesCap,NA,Capacity,GW,2045,382.31,67.35,2564.9,4.676466221232369,0.6139810518928613,increasing,0.6139810518928613
WEO2021,APS,MiddleEast,Power,CoalCap,NA,Capacity,GW,2050,8.39,4.9,2564.9,0.7122448979591837,0.006803384147530118,declining,0.7122448979591837
WEO2021,APS,MiddleEast,Power,GasCap,NA,Capacity,GW,2050,384.97,312.37,2564.9,0.23241668534110196,0.14152598541853487,declining,0.23241668534110196
WEO2021,APS,MiddleEast,Power,HydroCap,NA,Capacity,GW,2050,52.04,40.32,2564.9,0.29067460317460314,0.02284689461577449,increasing,0.02284689461577449
WEO2021,APS,MiddleEast,Power,NuclearCap,NA,Capacity,GW,2050,15.57,8.68,2564.9,0.7937788018433181,0.013431322858590979,increasing,0.013431322858590979
WEO2021,APS,MiddleEast,Power,OilCap,NA,Capacity,GW,2050,60.64,79.36,2564.9,-0.23588709677419353,-0.03649265078560567,declining,-0.23588709677419353
WEO2021,APS,MiddleEast,Power,RenewablesCap,NA,Capacity,GW,2050,564.3700000000001,67.35,2564.9,7.379658500371197,0.968887675932785,increasing,0.968887675932785
WEO2021,APS,Non OPEC,Oil&Gas,Oil,NA,Production,mb/d,2030,59.1,59.1,295.5,0,0,declining,0
WEO2021,APS,Non OPEC,Oil&Gas,Oil,NA,Production,mb/d,2035,53.2,59.1,295.5,-0.09983079526226732,-0.09983079526226732,declining,-0.09983079526226732
WEO2021,APS,Non OPEC,Oil&Gas,Oil,NA,Production,mb/d,2040,47.3,59.1,295.5,-0.19966159052453475,-0.19966159052453475,declining,-0.19966159052453475
WEO2021,APS,Non OPEC,Oil&Gas,Oil,NA,Production,mb/d,2045,42.7,59.1,295.5,-0.27749576988155666,-0.27749576988155666,declining,-0.27749576988155666
WEO2021,APS,Non OPEC,Oil&Gas,Oil,NA,Production,mb/d,2050,39.1,59.1,295.5,-0.338409475465313,-0.338409475465313,declining,-0.338409475465313
