scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2035,declining,-0.01886792452830193
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,bcm,Gas,2040,declining,-0.02581032412965186
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2040,declining,-0.06918238993710689
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,bcm,Gas,2045,declining,-0.05762304921968787
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2045,declining,-0.1163522012578616
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,bcm,Gas,2050,declining,-0.08043217286914765
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2050,declining,-0.18553459119496865
AdvancedEconomies,WEO2021_STEPS,Power,GW,CoalCap,2030,declining,0
AdvancedEconomies,WEO2021_STEPS,Power,GW,GasCap,2030,declining,0
AdvancedEconomies,WEO2021_STEPS,Power,GW,HydroCap,2030,increasing,0
AdvancedEconomies,WEO2021_STEPS,Power,GW,NuclearCap,2030,increasing,0
AdvancedEconomies,WEO2021_STEPS,Power,GW,OilCap,2030,declining,0
AdvancedEconomies,WEO2021_STEPS,Power,GW,RenewablesCap,2030,increasing,0
AdvancedEconomies,WEO2021_STEPS,Power,GW,CoalCap,2035,declining,-0.2340565190354452
AdvancedEconomies,WEO2021_STEPS,Power,GW,GasCap,2035,declining,0.04464098089556048
AdvancedEconomies,WEO2021_STEPS,Power,GW,HydroCap,2035,increasing,0.00622880833061673
AdvancedEconomies,WEO2021_STEPS,Power,GW,NuclearCap,2035,increasing,-0.00362088621466366
AdvancedEconomies,WEO2021_STEPS,Power,GW,OilCap,2035,declining,-0.17424689899586532
AdvancedEconomies,WEO2021_STEPS,Power,GW,RenewablesCap,2035,increasing,0.10194286514132686
AdvancedEconomies,WEO2021_STEPS,Power,GW,CoalCap,2040,declining,-0.37715055620811166
AdvancedEconomies,WEO2021_STEPS,Power,GW,GasCap,2040,declining,0.09223305406072128
AdvancedEconomies,WEO2021_STEPS,Power,GW,HydroCap,2040,increasing,0.012192404242662
AdvancedEconomies,WEO2021_STEPS,Power,GW,NuclearCap,2040,increasing,-0.00514033236272955
AdvancedEconomies,WEO2021_STEPS,Power,GW,OilCap,2040,declining,-0.342232722976964
AdvancedEconomies,WEO2021_STEPS,Power,GW,RenewablesCap,2040,increasing,0.17599238250997778
AdvancedEconomies,WEO2021_STEPS,Power,GW,CoalCap,2045,declining,-0.4806536308989152
AdvancedEconomies,WEO2021_STEPS,Power,GW,GasCap,2045,declining,0.10271262939580277
AdvancedEconomies,WEO2021_STEPS,Power,GW,HydroCap,2045,increasing,0.01766241037569919
AdvancedEconomies,WEO2021_STEPS,Power,GW,NuclearCap,2045,increasing,-0.0068329032840296
AdvancedEconomies,WEO2021_STEPS,Power,GW,OilCap,2045,declining,-0.4499704666272889
AdvancedEconomies,WEO2021_STEPS,Power,GW,RenewablesCap,2045,increasing,0.23874827105445867
AdvancedEconomies,WEO2021_STEPS,Power,GW,CoalCap,2050,declining,-0.5661576729081739
AdvancedEconomies,WEO2021_STEPS,Power,GW,GasCap,2050,declining,0.06493316643977665
AdvancedEconomies,WEO2021_STEPS,Power,GW,HydroCap,2050,increasing,0.02287457110179185
AdvancedEconomies,WEO2021_STEPS,Power,GW,NuclearCap,2050,increasing,-0.00773352045542866
AdvancedEconomies,WEO2021_STEPS,Power,GW,OilCap,2050,declining,-0.5149438865918488
AdvancedEconomies,WEO2021_STEPS,Power,GW,RenewablesCap,2050,increasing,0.2999534036514591
Africa,WEO2021_APS,Coal,Mtce,Coal,2030,declining,0
Africa,WEO2021_APS,Coal,Mtce,Coal,2035,declining,-0.2847682119205298
Africa,WEO2021_APS,Coal,Mtce,Coal,2040,declining,-0.4834437086092715
Africa,WEO2021_APS,Coal,Mtce,Coal,2045,declining,-0.5231788079470199
Africa,WEO2021_APS,Coal,Mtce,Coal,2050,declining,-0.5562913907284768
Africa,WEO2021_APS,Oil&Gas,bcm,Gas,2030,declining,0
Africa,WEO2021_APS,Oil&Gas,mb/d,Oil,2030,declining,0
Africa,WEO2021_APS,Oil&Gas,bcm,Gas,2035,declining,0.04262295081967213
Africa,WEO2021_APS,Oil&Gas,mb/d,Oil,2035,declining,-0.12307692307692306
Africa,WEO2021_APS,Oil&Gas,bcm,Gas,2040,declining,0.11147540983606558
Africa,WEO2021_APS,Oil&Gas,mb/d,Oil,2040,declining,-0.2307692307692308
Africa,WEO2021_APS,Oil&Gas,bcm,Gas,2045,declining,0.2
Africa,WEO2021_APS,Oil&Gas,mb/d,Oil,2045,declining,-0.3076923076923077
Africa,WEO2021_APS,Oil&Gas,bcm,Gas,2050,declining,0.3081967213114754
Africa,WEO2021_APS,Oil&Gas,mb/d,Oil,2050,declining,-0.3692307692307693
Africa,WEO2021_APS,Power,GW,CoalCap,2030,declining,0
Africa,WEO2021_APS,Power,GW,GasCap,2030,declining,0
Africa,WEO2021_APS,Power,GW,HydroCap,2030,increasing,0
Africa,WEO2021_APS,Power,GW,NuclearCap,2030,increasing,0
Africa,WEO2021_APS,Power,GW,OilCap,2030,declining,0
Africa,WEO2021_APS,Power,GW,RenewablesCap,2030,increasing,0
Africa,WEO2021_APS,Power,GW,CoalCap,2035,declining,-0.2279428972618768
Africa,WEO2021_APS,Power,GW,GasCap,2035,declining,0.14700530705079595
Africa,WEO2021_APS,Power,GW,HydroCap,2035,increasing,0.03409472623446424
Africa,WEO2021_APS,Power,GW,NuclearCap,2035,increasing,0.00285522337924084
Africa,WEO2021_APS,Power,GW,OilCap,2035,declining,0.04422964264792026
Africa,WEO2021_APS,Power,GW,RenewablesCap,2035,increasing,0.243827678871347
Africa,WEO2021_APS,Power,GW,CoalCap,2040,declining,-0.6606599578750292
Africa,WEO2021_APS,Power,GW,GasCap,2040,declining,0.3313874147081122
Africa,WEO2021_APS,Power,GW,HydroCap,2040,increasing,0.09443231441048032
Africa,WEO2021_APS,Power,GW,NuclearCap,2040,increasing,0.00631928115552569
Africa,WEO2021_APS,Power,GW,OilCap,2040,declining,-0.03309900410076164
Africa,WEO2021_APS,Power,GW,RenewablesCap,2040,increasing,0.4787747732616729
Africa,WEO2021_APS,Power,GW,CoalCap,2045,declining,-0.7027849286215774
Africa,WEO2021_APS,Power,GW,GasCap,2045,declining,0.4616376042456405
Africa,WEO2021_APS,Power,GW,HydroCap,2045,increasing,0.18248236479677532
Africa,WEO2021_APS,Power,GW,NuclearCap,2045,increasing,0.00631928115552569
Africa,WEO2021_APS,Power,GW,OilCap,2045,declining,-0.06033977738722912
Africa,WEO2021_APS,Power,GW,RenewablesCap,2045,increasing,0.67177527712462215
Africa,WEO2021_APS,Power,GW,CoalCap,2050,declining,-0.6992745143926983
Africa,WEO2021_APS,Power,GW,GasCap,2050,declining,0.5794541319181198
Africa,WEO2021_APS,Power,GW,HydroCap,2050,increasing,0.29287033926771916
Africa,WEO2021_APS,Power,GW,NuclearCap,2050,increasing,0.00631928115552569
Africa,WEO2021_APS,Power,GW,OilCap,2050,declining,-0.06414762741652025
Africa,WEO2021_APS,Power,GW,RenewablesCap,2050,increasing,0.8154182062479007
Africa,WEO2021_SDS,Coal,Mtce,Coal,2030,declining,0
